Step,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,1000.0,1000.002,1000.0,1000.0,1000.0,1000.0,1000.0160000000001,1000.0,1000.0,1000.0,1000.0,1000.009,1000.0,1000.0,1000.0,1000.0,1000.0210000000001,1000.0,1000.0,1000.0,1000.0,1000.0150000000001,1000.0,1000.0,1000.0,1000.0,1000.0070000000001,1000.0,1000.0,1000.0,1000.0,1000.0190000000001,1000.0,1000.0,1000.0,1000.0,1000.0210000000002,1000.0,1000.0,1000.0,1000.0,1000.008,1000.0,1000.0,1000.0,1000.0,1000.005,1000.0,1000.0,1000.0,1000.0,1000.0350000000001,1000.0,1000.0,1000.0,1000.0,1000.0140000000001,1000.0,1000.0,1000.0,1000.0,1000.013,1000.0,1000.0,1000.0,1000.0,1000.0200000000001,1000.0,1000.0,1000.0,1000.0,1000.0060000000001,1000.0,1000.0,1000.0,1000.0,1000.004,1000.0,1000.0,1000.0,1000.0,1000.0220000000002,1000.0,1000.0,1000.0,1000.0,1000.001,1000.0,1000.0,1000.0,1000.0,1000.003,1000.0,1000.0,1000.0,1000.0,1000.0120000000001,1000.0,1000.0,1000.0,1000.0
2,1000.0,999.4054559094898,1000.0,1000.0,1000.0,1000.0,999.4214559094899,1000.0,1000.0,1000.0,1000.0,999.41745590949,1000.0,1000.0,1000.0,1000.0,999.4244559094899,1000.0,1000.0,1000.0,1000.0,999.4184559094899,1000.0,1000.0,1000.0,1000.0,999.4104559094899,1000.0,1000.0,1000.0,1000.0,999.42545590949,1000.0,1000.0,1000.0,1000.0,998.8369118189797,1000.0,1000.0,1000.0,1000.0,999.4114559094899,1000.0,1000.0,1000.0,1000.0,999.4124559094898,1000.0,1000.0,1000.0,1000.0,998.8429118189796,1000.0,1000.0,1000.0,1000.0,999.41745590949,1000.0,1000.0,1000.0,1000.0,999.4244559094898,1000.0,1000.0,1000.0,1000.0,999.4234559094899,1000.0,1000.0,1000.0,1000.0,999.41645590949,1000.0,1000.0,1000.0,1000.0,999.4074559094898,1000.0,1000.0,1000.0,1000.0,999.4314559094901,1000.0,1000.0,1000.0,1000.0,999.4044559094898,1000.0,1000.0,1000.0,1000.0,999.4064559094899,1000.0,1000.0,1000.0,1000.0,999.4154559094899,1000.0,1000.0,1000.0,1000.0
3,1000.0,998.6413590242005,1000.0,1000.0,1000.0,1000.0,997.9052621389114,1000.0,1000.0,1000.004,1000.0,997.8902621389113,1000.0,1000.0,1000.0,1000.0,998.6603590242006,1000.0,1000.0,1000.0,1000.0,998.6543590242006,1000.0,1000.0,1000.0,1000.0,998.6533590242007,1000.0,1000.0,1000.0,1000.0,997.9052621389114,1000.0,1000.0,1000.0,1000.0,996.5466211631119,1000.0,1000.0,1000.0,1000.0,998.6523590242006,1000.0,1000.0,1000.0,1000.0,997.8942621389112,1000.0,1000.0,1000.0,1000.0,996.564621163112,1000.0,1000.0,1000.0,1000.0,998.6533590242007,1000.0,1000.0,1000.0,1000.0,997.9092621389113,1000.0,1000.0,1000.0,1000.0,998.6593590242006,1000.0,1000.0,1000.0,1000.0,997.8912621389115,1000.0,1000.0,1000.0,1000.0,998.6433590242005,1000.0,1000.0,1000.0,1000.0,997.9122621389115,1000.0,1000.0,1000.0,1000.0,998.6463590242005,1000.0,1000.0,1000.0,1000.0,998.6423590242006,1000.0,1000.0,1000.0,1000.0,998.6623590242007,1000.0,1000.0,1000.0,1000.0
4,1000.0,998.0034521473074,1000.0,1000.0,1000.0,1000.0,995.995541508232,1000.0,1000.0,999.375093123107,1000.0,995.981541508232,1000.0,1000.0,1000.0,1000.0,998.0224521473075,1000.0,1000.0,1000.0060000000001,1000.0,998.0164521473075,1000.0,1000.0,1000.0,1000.0,997.3775452704144,1000.0,1000.0,1000.0,1000.0,996.003541508232,1000.0,1000.0,1000.0,1000.0,994.0059936555394,1000.0,1000.0,1000.0,1000.0,997.3765452704142,1000.0,1000.0,1000.0,1000.0,995.9835415082318,1000.0,1000.0,1000.0,1000.0,994.0229936555394,1000.0,1000.0,1000.0,1000.0,998.0154521473075,1000.0,1000.0,1000.0,1000.0,996.008541508232,1000.0,1000.0,1000.0,1000.0,998.0214521473075,1000.0,1000.0,1000.0,1000.0,995.979541508232,1000.0,1000.0,1000.0,1000.0,998.0054521473074,1000.0,1000.0,1000.0,1000.0,995.999541508232,1000.0,1000.0,1000.0,1000.0,997.3775452704142,1000.0,1000.0,1000.0,1000.0,998.0044521473075,1000.0,1000.0,1000.0,1000.0,997.3945452704144,1000.0,1000.0,1000.0,1000.0
5,1000.0,997.4561149955298,1000.0,1000.0,1000.0,1000.0,993.807192901122,1000.0,1000.0,998.289418819552,1000.0,993.7951929011219,1000.0,1000.0,1000.0,1000.0,997.4751149955299,1000.0,1000.0,999.4626628482226,1000.0,997.4691149955299,1000.0,1000.0,1000.0,1000.0,996.2828709668594,1000.0,1000.0,1000.0,1000.0,993.8221929011221,1000.0,1000.0,1000.0,1000.0,991.280307896652,1000.0,1000.0,1000.0,1000.0,996.2818709668593,1000.0,1000.0,1000.0,1000.0,993.8001929011218,1000.0,1000.0,1000.0,1000.0,991.2963078966518,1000.0,1000.0,1000.0,1000.0,997.46811499553,1000.0,1000.0,1000.0,1000.0,993.819192901122,1000.0,1000.0,1000.0,1000.0,997.4741149955299,1000.0,1000.0,1000.0,1000.0,993.797192901122,1000.0,1000.0,1000.0,1000.0,997.4581149955299,1000.0,1000.0,1000.002,1000.0,993.815192901122,1000.0,1000.0,1000.0,1000.0,995.7355338150817,1000.0,1000.0,1000.0,1000.0,997.4571149955299,1000.0,1000.0,1000.0,1000.0,995.7525338150818,1000.0,1000.0,1000.0,1000.0
6,1000.0,997.5297507988065,1000.0,1000.0,1000.0,1000.0,994.1753719175052,1000.0,1000.0,998.511326229382,1000.0,994.1633719175052,1000.0,1000.0,1000.0,1000.0,997.5487507988066,1000.0,1000.0,999.6119344547759,1000.0,997.5427507988067,1000.0,1000.0,1000.0,1000.0,996.4301425734127,1000.0,1000.0,1000.0,1000.0,994.1903719175053,1000.0,1000.0,1000.0,1000.0,991.7221227163118,1000.0,1000.0,1000.0,1000.0,996.4291425734125,1000.0,1000.0,1000.0,1000.0,994.168371917505,1000.0,1000.0,1000.0,1000.0,991.7381227163116,1000.0,1000.0,1000.0,1000.0,997.5417507988067,1000.0,1000.0,1000.0,1000.0,994.1137361142286,1000.0,1000.0,1000.0,1000.0,997.5477507988066,1000.0,1000.0,1000.0,1000.0,994.1653719175052,1000.0,1000.0,1000.0,1000.0,997.5317507988066,1000.0,1000.0,1000.0756358032767,1000.0,994.1833719175053,1000.0,1000.0,1000.0,1000.0,995.9564412249116,1000.0,1000.0,1000.0,1000.0,997.5307507988066,1000.0,1000.0,1000.0,1000.0,995.9734412249118,1000.0,1000.0,1000.0,1000.0
7,1000.0,996.8925426437016,1000.0,1000.0,1000.0,1000.0,990.9953311419808,1000.0,1000.0,995.9764936089628,1000.0,990.9873311419808,1000.0,1000.0,1000.0,1000.0,996.9115426437018,1000.0,1000.0,997.7023099894614,1000.0,996.9055426437018,1000.0,1000.0,1000.0,1000.0,995.155726263203,1000.0,1000.0,1000.0,1000.0,991.011331141981,1000.0,1000.0,1000.0,1000.0,987.8998737856826,1000.0,1000.0,1000.0,1000.0,995.1547262632029,1000.0,1000.0,1000.0,1000.0,990.9943311419808,1000.0,1000.0,1000.0,1000.0,987.9198737856825,1000.0,1000.0,1000.0,1000.0,996.9045426437018,1000.0,1000.0,1000.0,1000.0,991.5779034938091,1000.0,1000.0,1000.0,1000.0,996.9105426437018,1000.0,1000.0,1000.0,1000.0,990.988331141981,1000.0,1000.0,1000.0,1000.0,996.8945426437017,1000.0,1000.0,999.4414276481718,1000.0,991.005331141981,1000.0,1000.0,1000.0,1000.0,994.048816759597,1000.0,1000.0,1000.0,1000.0,996.8935426437017,1000.0,1000.0,1000.0,1000.0,994.0728167595973,1000.0,1000.0,1000.0,1000.0
8,1000.0,997.0481609137812,1000.0,1000.0,1000.0,1000.0029999999999,991.929040762458,1000.0,1000.0,996.7555849593604,1000.0,991.921040762458,1000.0,1000.0,1000.0,1000.0,997.0671609137812,1000.0,1000.0,998.3267830697796,1000.0,997.0611609137814,1000.0,1000.0,1000.0,1000.0,995.466962803362,1000.0,1000.0,1000.0,1000.0,991.9450407624582,1000.0,1000.0,1000.0,1000.0,988.9892016762393,1000.0,1000.0,1000.0,1000.0,995.4659628033619,1000.0,1000.0,1000.0,1000.0,991.928040762458,1000.0,1000.0,1000.0,1000.0,989.0092016762392,1000.0,1000.0,1000.0,1000.0,997.0601609137814,1000.0,1000.0,1000.0,1000.0,992.3559948442069,1000.0,1000.0,1000.0,1000.0,997.0661609137812,1000.0,1000.0,1000.0,1000.0,991.9220407624582,1000.0,1000.0,1000.0,1000.0,997.0501609137812,1000.0,1000.0,999.7526641883309,1000.0,991.9390407624581,1000.0,1000.0,1000.0,1000.0,994.6712898399152,1000.0,1000.0,1000.0,1000.0,997.0491609137812,1000.0,1000.0,1000.0,1000.0,994.6952898399154,1000.0,1000.0,1000.0,1000.0
9,1000.0,997.2455367299535,1000.0,1000.0,1000.0,1000.2003758161724,993.1132956594922,1000.0,1000.0,997.9398398563945,1000.0,993.1052956594922,1000.0,1000.0,1000.0,1000.0,997.2645367299536,1000.0,1000.0,999.3136621506414,1000.0,997.2585367299537,1000.0,1000.0,1000.0,1000.0,995.8617144357067,1000.0,1000.0,1000.0,1000.0,993.1292956594924,1000.0,1000.0,1000.0,1000.0,990.3718323894459,1000.0,1000.0,1000.0,1000.0,995.8607144357067,1000.0,1000.0,1000.0,1000.0,993.1132956594922,1000.0,1000.0,1000.0,1000.0,990.3908323894459,1000.0,1000.0,1000.0,1000.0,997.2575367299537,1000.0,1000.0,1000.0,1000.0,993.3428739250687,1000.0,1000.0,1000.0,1000.0,997.2635367299537,1000.0,1000.0,1000.0,1000.0,993.1062956594924,1000.0,1000.0,1000.0,1000.0,997.2475367299536,1000.0,1000.0,1000.1474158206756,1000.0,993.1232956594923,1000.0,1000.0,1000.0,1000.0,995.4607931046046,1000.0,1000.0,1000.0,1000.0,997.2465367299536,1000.0,1000.0,1000.0,1000.0,995.4847931046049,1000.0,1000.0,1000.0,1000.0
10,1000.0,996.2587973959355,1000.0,1000.0,1000.0,998.1868971481362,987.1458596553841,1000.0,1000.0,991.9544038522863,1000.0,987.1328596553841,1000.0,1000.0,1000.0,1000.0,996.2697973959355,1000.0,1000.0,994.3349654805512,1000.0,996.2817973959357,1000.0,1000.0,1000.0,1000.0,993.8792357676707,1000.0,1000.0,1000.0,1000.0,987.1598596553843,1000.0,1000.0,1000.0,1000.0,984.3923963853376,1000.0,1000.0,1000.0,1000.0,993.8882357676707,1000.0,1000.0,1000.0,1000.0,988.136598989402,1000.0,1000.0,1000.0,1000.0,983.4236570513195,1000.0,1000.0,1000.0,1000.0,996.2817973959357,1000.0,1000.0,1000.0,1000.0,988.3741772549786,1000.0,1000.0,1000.0,1000.0,996.2707973959357,1000.0,1000.0,1000.0,1000.0,987.1238596553841,1000.0,1000.0,1000.0,1000.0,996.2647973959356,1000.0,1000.0,998.1759371526397,1000.0,987.1558596553841,1000.0,1000.0,1000.006,1000.0,991.4858357685325,1000.0,1000.0,1000.0,1000.0,996.2667973959356,1000.0,1000.0,1000.0,1000.0,991.4958357685326,1000.0,1000.0,1000.0,1000.0
