tick,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,0.0,0.2746929015346271,0.0,0.0,0.0,0.0,0.2746894015346271,0.0,0.0,0.0,0.0,0.27469115153462714,0.0,0.0,0.0,0.0,0.2746881515346271,0.0,0.0,0.0,0.0,0.2746896515346271,0.0,0.0,0.0,0.0,0.2746916515346271,0.0,0.0,0.0,0.0,0.2746886515346271,0.0,0.0,0.0,0.0,0.29938130306925426,0.0,0.0,0.0,0.0,0.2746914015346271,0.0,0.0,0.0,0.0,0.2746921515346271,0.0,0.0,0.0,0.0,0.2993778030692542,0.0,0.0,0.0,0.0,0.27468990153462713,0.0,0.0,0.0,0.0,0.2746901515346271,0.0,0.0,0.0,0.0,0.2746884015346271,0.0,0.0,0.0,0.0,0.27469190153462714,0.0,0.0,0.0,0.0,0.27469240153462715,0.0,0.0,0.0,0.0,0.2746879015346271,0.0,0.0,0.0,0.0,0.27469315153462714,0.0,0.0,0.0,0.0,0.27469265153462713,0.0,0.0,0.0,0.0,0.2746904015346271,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.02723325675664078,0.0,0.0,0.0,0.0,0.027232636089491533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027232888710631852,0.0,0.0,0.0,0.0,0.030582949733021756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027233034356292717,0.0,0.0,0.0,0.0,0.030584908440341417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027231683034675897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027232171944955023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027231965881063667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0303215438183612,0.0,0.0,0.02435224129067726,0.0,0.030325119235220046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027020183069714102,0.0,0.0,0.0,0.0,0.03032263800986066,0.0,0.0,0.0,0.0,0.034576946350021995,0.0,0.0,0.0,0.0,0.02702070788303698,0.0,0.0,0.0,0.0,0.030322506256410534,0.0,0.0,0.0,0.0,0.03457239231299381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03032111924205954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030324534380393512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030322100159007506,0.0,0.0,0.0,0.0,0.02702064035840864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02701892357952473,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.2842835732504541,0.0,0.0,0.02680229875739342,0.0,0.2842839477322609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27419226457145396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03428073904991044,0.0,0.0,0.0,0.0,0.03986031210919417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.284284461955246,0.0,0.0,0.0,0.0,0.039859541840963915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03428019046097361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2842849619937955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28042129635486435,0.0,0.0,0.0,0.0,0.28009629229082394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030095382229211237,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.2826463429807686,0.0,0.0,0.27985099864545215,0.0,0.2895088171586475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2766331999630741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2895053368130025,0.0,0.0,0.0,0.0,0.2971529750680078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28950745562085706,0.0,0.0,0.0,0.0,0.2971518938113958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2895073045725684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27405643028350957,0.0,0.28950682806341904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23394356173089764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24245466386117895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.2909265585829349,0.0,0.0,0.28898957641661677,0.0,0.2966463082523126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23826288571447388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29664531455886206,0.0,0.0,0.0,0.0,0.25344810474843055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2966448780075673,0.0,0.0,0.0,0.0,0.2892197830848661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2892715731860562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29664661392822905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24001823240766446,0.0,0.2966454638092937,0.0,0.0,0.0,0.0,0.25632431598662336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2838202843966864,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.17328713135200643,0.0,0.0,0.0,0.17924629064718617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1800993657642297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.3460368138475068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.186959237278826,0.0,0.0,0.0,0.125,0.29014342864957576,0.0,0.0,0.1573752848313475,0.0,0.24478115007162174,0.0,0.0,0.0,0.0,0.13997309906207056,0.0,0.0,0.19727622907072775,0.0,0.2763520972797894,0.0,0.0,0.0,0.0,0.20829866778117004,0.0,0.0,0.0,0.0,0.2719958949824451,0.0,0.0,0.0,0.0,0.19605992393272237,0.0,0.0,0.0,0.0,0.2795450610177816,0.0,0.0,0.0,0.0,0.21597467472927395,0.0,0.0,0.0,0.0,0.2945094299594841,0.0,0.0,0.0,0.0,0.27635184912413163,0.0,0.0,0.0,0.0,0.2962728097215788,0.0,0.0,0.0,0.0,0.15252574951573375,0.0,0.0,0.0,0.0,0.1768559736214888,0.0,0.0,0.0,0.0,0.22325116422482122,0.0,0.0,0.2793880274920786,0.0,0.306951886991341,0.0,0.0,0.15619929901767707,0.0,0.24481751373222063,0.0,0.0,0.0,0.0,0.2504701825412171,0.0,0.0,0.0,0.0,0.14619095474737204,0.0,0.0,0.0,0.0
