tick,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,0.25,0.25,0.25,0.25,0.25,0.36553445650271094,0.25,0.25,0.25,0.25,0.3655331995546485,0.25,0.25,0.25,0.25,0.36553503259432935,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.36553558929402175,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.3655317332450765,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.3655338513212355,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.3655312444049267,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.36553124444380997,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.36553515491971467,0.25,0.25,0.25,0.25,0.36553124457991343,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.36554102044047004,0.25,0.25,0.25,0.25,0.25
2,0.375,0.4911116615719162,0.375,0.375,0.375,0.4940004466143524,0.4908680584637062,0.375,0.375,0.49106556408377006,0.4939986338733072,0.49116168099107993,0.375,0.375,0.375,0.49400073469596884,0.4909898789105382,0.375,0.375,0.375,0.375,0.49087482892166856,0.375,0.375,0.375,0.49399982871912307,0.49121462854105485,0.375,0.375,0.375,0.375,0.4910180061494233,0.375,0.375,0.375,0.375,0.4908392175642017,0.375,0.375,0.375,0.49399790043210406,0.4909097726615859,0.375,0.375,0.375,0.375,0.49163378352705595,0.375,0.375,0.375,0.4940013282399635,0.4909196808692852,0.375,0.375,0.375,0.375,0.4915551380115946,0.375,0.375,0.375,0.49554829469117184,0.49096498797038707,0.375,0.375,0.375,0.375,0.4912494693945807,0.375,0.375,0.375,0.4939976560553363,0.49172427284637915,0.375,0.375,0.375,0.375,0.49105250405914463,0.375,0.375,0.375,0.49399961155584027,0.4912869036933124,0.375,0.375,0.375,0.49399884065295363,0.4910045802316495,0.375,0.375,0.375,0.375,0.49132837187622536,0.375,0.375,0.375,0.49400491232221166,0.4909780528544067,0.375,0.375,0.375,0.375
3,0.4375,0.4955558307859581,0.4375,0.4375,0.4375,0.4970002233071762,0.4954340292318531,0.4375,0.4375,0.495532782041885,0.4969993169366536,0.5375738451804588,0.4375,0.4375,0.4375,0.4970003673479844,0.4954949394552691,0.4375,0.4375,0.4375,0.4375,0.4954374144608343,0.4375,0.4375,0.4375,0.49699991435956153,0.4956073142705274,0.4375,0.4375,0.4375,0.4375,0.4955090030747117,0.4375,0.4375,0.4375,0.4375,0.49541960878210084,0.4375,0.4375,0.4375,0.496998950216052,0.5573948666365994,0.4375,0.4375,0.4375,0.4375,0.49581689176352794,0.4375,0.4375,0.4375,0.4970006641199818,0.49545984043464264,0.4375,0.4375,0.4375,0.4375,0.4957775690057973,0.4375,0.4375,0.4375,0.4977741473455859,0.5374882550793143,0.4375,0.4375,0.4375,0.4375,0.49562473469729035,0.4375,0.4375,0.4375,0.49699882802766815,0.49586213642318955,0.4375,0.4375,0.4375,0.4375,0.49552625202957234,0.4375,0.4375,0.4375,0.49699980577792013,0.4956434518466562,0.4375,0.4375,0.4375,0.4969994203264768,0.49550229011582475,0.4375,0.4375,0.4375,0.4375,0.4956641859381127,0.4375,0.4375,0.4375,0.49700245616110583,0.4954890264272034,0.4375,0.4375,0.4375,0.4375
4,0.5842812494419514,0.5611458149692388,0.46875,0.46875,0.46875,0.6140313610564572,0.5607514859435696,0.46875,0.46875,0.4977663910209425,0.6140318879767505,0.5703049313926392,0.46875,0.46875,0.46875,0.6140314331159435,0.5608276655377369,0.46875,0.46875,0.46875,0.5842812494810351,0.5608738900950211,0.46875,0.46875,0.46875,0.614031206621732,0.5609853126997291,0.46875,0.46875,0.46875,0.5842812494028691,0.5608513046054816,0.46875,0.46875,0.46875,0.5842832094335947,0.561177802456774,0.46875,0.46875,0.46875,0.614030724569519,0.5721637911913031,0.46875,0.46875,0.46875,0.5842832095117569,0.5609684366204193,0.46875,0.46875,0.46875,0.6140315814628599,0.5609905036790801,0.46875,0.46875,0.46875,0.5842822294791116,0.5610634397289574,0.46875,0.46875,0.46875,0.6144193031812166,0.570347245499178,0.46875,0.46875,0.46875,0.5842851696221261,0.5609302780168433,0.46875,0.46875,0.46875,0.6140306634557854,0.5609629909447397,0.46875,0.46875,0.46875,0.5842822295377362,0.5607709867361144,0.46875,0.46875,0.46875,0.6140311522918291,0.5607966946451984,0.46875,0.46875,0.46875,0.6140309595856484,0.5611499917634848,0.46875,0.46875,0.46875,0.5842832094726754,0.5612666506258,0.46875,0.46875,0.46875,0.6140324775420459,0.5608203648471591,0.46875,0.46875,0.46875,0.46875
5,0.5421406247209757,0.5305729074846194,0.484375,0.484375,0.484375,0.5983032181793777,0.6459173302955074,0.484375,0.484375,0.4988831955104712,0.5983034816882657,0.5963964459222633,0.484375,0.484375,0.484375,0.5983032542091209,0.5304138327688684,0.484375,0.484375,0.484375,0.5421406247405176,0.5304369450475106,0.484375,0.484375,0.484375,0.5983031409863856,0.5304926563498645,0.484375,0.484375,0.484375,0.5421406247014345,0.5304256523027409,0.484375,0.484375,0.484375,0.5421416047167973,0.530588901228387,0.484375,0.484375,0.484375,0.6182497330608323,0.5973255437429271,0.484375,0.484375,0.484375,0.5421416047558785,0.5304842183102096,0.484375,0.484375,0.484375,0.5570157907314299,0.53049525183954,0.484375,0.484375,0.484375,0.5421411147395558,0.6460717677694373,0.484375,0.484375,0.484375,0.5572096515906083,0.5964159797884072,0.484375,0.484375,0.484375,0.542142584811063,0.5304651390084216,0.484375,0.484375,0.484375,0.5983028693790419,0.5304814954723698,0.484375,0.484375,0.484375,0.5421411147688682,0.5303854933680572,0.484375,0.484375,0.484375,0.6182475942930807,0.5303983473225993,0.484375,0.484375,0.484375,0.5983030174683437,0.5305749958817424,0.484375,0.484375,0.484375,0.5421416047363377,0.5306333253129,0.484375,0.484375,0.484375,0.5983037764465425,0.5304101824235796,0.484375,0.484375,0.484375,0.484375
6,0.5823023571936742,0.6316880214771052,0.4921875,0.4921875,0.4921875,0.6103848435948005,0.6353715767122836,0.4921875,0.4921875,0.4994415977552356,0.6103849752047186,0.6105820812774606,0.4921875,0.4921875,0.4921875,0.6103836720581923,0.63162682650208,0.4921875,0.4921875,0.4921875,0.5823023571793575,0.6318045802208386,0.4921875,0.4921875,0.4921875,0.6116950394561169,0.6318150732513939,0.4921875,0.4921875,0.4921875,0.5823035467835644,0.6316087761114517,0.4921875,0.4921875,0.4921875,0.582302847215673,0.6317746612195544,0.4921875,0.4921875,0.4921875,0.5591248665304162,0.5912687354531736,0.4921875,0.4921875,0.4921875,0.5823028471629508,0.6316110058784931,0.4921875,0.4921875,0.4921875,0.5897399401507264,0.6318516312513165,0.4921875,0.4921875,0.4921875,0.5823037918026251,0.6544683388732211,0.4921875,0.4921875,0.4921875,0.5898368705803156,0.5906560592555179,0.4921875,0.4921875,0.4921875,0.5823033372146302,0.6316505499179625,0.4921875,0.4921875,0.4921875,0.6103834795227072,0.6316735959859374,0.4921875,0.4921875,0.4921875,0.5823026021694455,0.6316675133685556,0.4921875,0.4921875,0.4921875,0.5591237971465404,0.631640099705068,0.4921875,0.4921875,0.4921875,0.610384743130888,0.6316616734234305,0.4921875,0.4921875,0.4921875,0.5823040367648848,0.6318256360522579,0.4921875,0.4921875,0.4921875,0.6103851226922503,0.6315890311303727,0.4921875,0.4921875,0.4921875,0.4921875
7,0.541151178596837,0.6485359665562693,0.49609375,0.49609375,0.49609375,0.5551924217974002,0.6314822294044011,0.49609375,0.49609375,0.5824386359216429,0.5551924876023593,0.5991710937613486,0.49609375,0.49609375,0.49609375,0.5551918360290962,0.6296585230052759,0.49609375,0.49609375,0.6139187421155489,0.5411511785896788,0.6298997094910015,0.49609375,0.49609375,0.49609375,0.5558475197280585,0.6488074684884844,0.49609375,0.49609375,0.49609375,0.5411517733917822,0.6293502151405356,0.49609375,0.49609375,0.49609375,0.5411514236078365,0.629636344426679,0.49609375,0.49609375,0.49609375,0.529562433265208,0.5795357353975963,0.49609375,0.49609375,0.49609375,0.5411514235814754,0.6295733926191348,0.49609375,0.49609375,0.49609375,0.5448699700753632,0.629752291749538,0.49609375,0.49609375,0.6136264014641704,0.5411518959013126,0.6291093521289477,0.49609375,0.49609375,0.49609375,0.5449184352901578,0.5973117280851054,0.49609375,0.49609375,0.6139039331094112,0.5411516686073151,0.6294275780782863,0.49609375,0.49609375,0.49609375,0.5551917397613536,0.6297305676540175,0.49609375,0.49609375,0.6136139589893262,0.5411513010847228,0.6487998954164149,0.49609375,0.49609375,0.49609375,0.5295618985732702,0.6483935690040474,0.49609375,0.49609375,0.49609375,0.555192371565444,0.629528530294995,0.49609375,0.49609375,0.6135325968576237,0.5411520183824424,0.6296675892291175,0.49609375,0.49609375,0.49609375,0.5551925613461252,0.6484178748959211,0.49609375,0.49609375,0.613568527712725,0.49609375
8,0.5205755892984185,0.6086806689549191,0.498046875,0.498046875,0.498046875,0.5275962108987001,0.5938190347838701,0.498046875,0.498046875,0.6055024203524249,0.5275962438011796,0.570461224055586,0.498046875,0.498046875,0.498046875,0.5275959180145481,0.6091606944192625,0.498046875,0.498046875,0.6210985202689193,0.5205755892948394,0.6095701118207508,0.498046875,0.498046875,0.6161666402023136,0.5279237598640292,0.6085293922476251,0.498046875,0.498046875,0.498046875,0.5205758866958912,0.6089455531672019,0.498046875,0.498046875,0.498046875,0.5205757118039183,0.5648181722133395,0.498046875,0.498046875,0.498046875,0.514781216632604,0.5679188728505737,0.498046875,0.498046875,0.498046875,0.5205757117907377,0.609458310213829,0.498046875,0.498046875,0.498046875,0.5224349850376816,0.6094781687226534,0.498046875,0.498046875,0.6212268973673856,0.5205759479506563,0.5884793744359045,0.498046875,0.498046875,0.498046875,0.5224592176450789,0.572915725831963,0.498046875,0.498046875,0.6211353698743824,0.5205758343036575,0.609185726003862,0.498046875,0.498046875,0.6161807237745485,0.5275958698806769,0.5648652838270087,0.498046875,0.498046875,0.6210177924198986,0.5205756505423613,0.6086884739251013,0.498046875,0.498046875,0.498046875,0.5147809492866351,0.6085271687989455,0.498046875,0.498046875,0.6160153345087129,0.527596185782722,0.6094194209192011,0.498046875,0.498046875,0.6211487531773883,0.5205760091912213,0.6094714022445866,0.498046875,0.498046875,0.498046875,0.5275962806730625,0.6084573227712434,0.498046875,0.498046875,0.6211105881006326,0.498046875
9,0.5102877946492093,0.5998136604846641,0.4990234375,0.4990234375,0.4990234375,0.5137981054493501,0.5864091820941766,0.4990234375,0.4990234375,0.6064324614998682,0.5137981219005898,0.566810410165246,0.4990234375,0.4990234375,0.4990234375,0.5137979590072741,0.5901387111084462,0.4990234375,0.4990234375,0.6259487956769204,0.5102877946474197,0.5899663322276523,0.4990234375,0.4990234375,0.6423760784578726,0.5139618799320146,0.5831483901806662,0.4990234375,0.4990234375,0.4990234375,0.5102879433479456,0.5894783898030633,0.4990234375,0.4990234375,0.4990234375,0.5102878559019591,0.5779736666974562,0.4990234375,0.4990234375,0.4990234375,0.507390608316302,0.5590642237867826,0.4990234375,0.4990234375,0.4990234375,0.5102878558953688,0.5899508964770042,0.4990234375,0.4990234375,0.6176963538786107,0.5112174925188409,0.5899687989828802,0.4990234375,0.4990234375,0.625487631949806,0.5102879739753281,0.5793097432688514,0.4990234375,0.4990234375,0.4990234375,0.5112296088225394,0.5716447681795394,0.4990234375,0.4990234375,0.6261292284082931,0.5102879171518288,0.5898071435273757,0.4990234375,0.4990234375,0.642170242314959,0.5137979349403384,0.5775421910985354,0.4990234375,0.4990234375,0.6254002920555864,0.5102878252711807,0.5995919682880788,0.4990234375,0.4990234375,0.4990234375,0.5073904746433175,0.583060920553806,0.4990234375,0.4990234375,0.6425364066827421,0.513798092891361,0.589970757186177,0.4990234375,0.4990234375,0.6258405237399319,0.5102880045956106,0.5900839021275117,0.4990234375,0.4990234375,0.4990234375,0.5137981403365313,0.5832845168103399,0.4990234375,0.4990234375,0.6260811439200106,0.4990234375
10,0.5051438973246046,0.586632784773045,0.49951171875,0.49951171875,0.6193106709172504,0.5068990527246751,0.576487916131349,0.49951171875,0.49951171875,0.5532162307499341,0.5068990609502949,0.5516974611926211,0.49951171875,0.49951171875,0.6190151413312006,0.506898979503637,0.5748472206505468,0.49951171875,0.49951171875,0.6097489918611608,0.5051438973237099,0.5751714032327633,0.49951171875,0.49951171875,0.64630079798082,0.5069809399660072,0.5827750414835682,0.49951171875,0.49951171875,0.6192658537152405,0.5051439716739727,0.5910204948604876,0.49951171875,0.49951171875,0.6196830517126775,0.5051439279509795,0.5760424513394901,0.49951171875,0.49951171875,0.6196516699203993,0.503695304158151,0.5531218496323564,0.49951171875,0.49951171875,0.6190321757467474,0.5051439279476844,0.5747691398335919,0.49951171875,0.49951171875,0.6441381558307404,0.5056087462594204,0.5914235266723524,0.49951171875,0.49951171875,0.6201949190725229,0.505143986987664,0.569695730392124,0.49951171875,0.49951171875,0.6190040507808827,0.5056148044112697,0.5660443918605822,0.49951171875,0.49951171875,0.6295539765151976,0.5051439585759143,0.575306802969441,0.49951171875,0.49951171875,0.645243873032163,0.5068989674701692,0.575227942349805,0.49951171875,0.49951171875,0.6288720071416334,0.5051439126355903,0.5861907534226094,0.49951171875,0.49951171875,0.6196345891446627,0.5036952373216588,0.582648589434873,0.49951171875,0.49951171875,0.6376691192959816,0.5068990464456805,0.591561326096555,0.49951171875,0.49951171875,0.5929958755362237,0.5051440022978053,0.591596587022822,0.49951171875,0.49951171875,0.6197025010297441,0.5068990701682656,0.5819697077846959,0.49951171875,0.49951171875,0.6206311850042752,0.49951171875
